Site,Validation Date,Pages Checked,Inaccessible Pages,Percentage Accessible,Issues,Rating,Site Url,Report Url,Image URL
Financial Aid,7/10/2014,54,48,11.11%,13,,http://services.unimelb.edu.au/finaid,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-finaid/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Services Finder,6/17/2014,3,3,0.00%,6,,http://services.unimelb.edu.au/finder/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-finder/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Health Service,6/17/2014,32,22,31.25%,8,,http://services.unimelb.edu.au/health/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-health/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
International,6/16/2014,141,121,14.18%,11,,http://services.unimelb.edu.au/international/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-international/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Scholarships,5/26/2014,673,631,6.24%,26,,http://services.unimelb.edu.au/scholarships/home2,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-scholarships/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Staff Wellbeing,7/10/2014,33,5,84.85%,11,,http://services.unimelb.edu.au/staffwellbeing/home,www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-staffwellbeing-home/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Timetabling,7/10/2014,36,27,25.00%,15,,http://services.unimelb.edu.au/timetabling,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-timetabling/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Timetabling Staff,7/10/2014,66,51,22.73%,19,,http://services.unimelb.edu.au/timetabling/resources,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-timetabling-resources/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Venue Hire,7/10/2014,17,14,17.65%,15,,http://services.unimelb.edu.au/venuehire,http://www.unimelb.edu.au/accessibility/sortsite/msl/services-unimelb-edu-au-venuehire/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Student Advising System,6/16/2014,21,12,42.86%,10,,http://student-advising-system.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/student-advising-system-unimelb-edu-au/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Student Centre,6/17/2014,200,137,31.50%,8,,http://studentcentre.unimelb.edu.au/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/studentcentre-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Current Students,6/17/2014,8,3,62.50%,6,,http://students.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/students-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Faculty of VCA ad MCM,10/10/2013,1889,1846,2.28%,26,,http://vca-mcm.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/vca-mcm-unimelb-edu-au/10-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Faculty of Architecture Building and Planning,10/9/2013,1121,867,22.66%,31,,http://www.abp.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-abp-unimelb-edu-au/09-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne Dental School,10/14/2013,375,256,31.73%,21,,http://www.dent.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-dent-unimelb-edu-au/14-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne School of Engineering,10/10/2013,565,267,52.74%,27,,http://www.eng.unimelb.edu.au/index.html,http://www.unimelb.edu.au/accessibility/sortsite/www-eng-unimelb-edu-au/10-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne Law School,10/10/2013,8721,7513,13.85%,48,,http://www.law.unimelb.edu.au/melbourne-law-school,http://www.unimelb.edu.au/accessibility/sortsite/www-law-unimelb-edu-au/10-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Global Mobility,6/17/2014,323,258,20.12%,25,,http://www.mobility.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/mobility-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne School of Design,10/11/2013,100,100,0.00%,12,,http://www.msd.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-msd-unimelb-edu-au/11-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Murrup Barak,6/16/2014,197,143,27.41%,21,,http://www.murrupbarak.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/murrupbarak-unimelb-edu-au/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne School of Psychological Sciences,10/14/2013,1188,1079,9.18%,21,,http://www.psych.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-psych-unimelb-edu-au/14-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Sport,5/28/2014,456,420,7.89%,22,,http://www.sport.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/sport-unimelb-edu-au/28-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Accessibility,10/7/2013,84,4,95.24%,2,,http://www.unimelb.edu.au/accessibility/,http://www.unimelb.edu.au/accessibility/sortsite/www-unimelb-edu-au-accessibility/07-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-happy.gif
Faculty of Veterinary Science,10/11/2013,632,555,12.18%,26,,http://www.vet.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-vet-unimelb-edu-au/11-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Academic Honesty,5/15/2014,43,28,34.88%,7,,https://academichonesty.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/academichonesty-unimelb-edu-au/15-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Airport,5/15/2014,7245,4575,36.85%,27,,https://airport.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/airport-unimelb-edu-au/15-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Handbook,10/8/2013,12771,12254,4.05%,19,,https://handbook.unimelb.edu.au/faces/htdocs/user/search/SimpleSearch.jsp,http://www.unimelb.edu.au/accessibility/sortsite/www-handbook-unimelb-edu-au/08-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Housing,5/26/2014,461,453,1.74%,19,,https://housing.unimelb.edu.au/pages/visitor-survey?back_to=,http://www.unimelb.edu.au/accessibility/sortsite/msl/housing-unimelb-edu-au/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
ITS,10/9/2013,2195,1995,9.11%,25,,https://its.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/its-unimelb-edu-au/09-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Open Day 2013,8/7/2013,742,44,94.07%,12,,https://openday.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/openday-unimelb-edu-au/07-08-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-ok.gif
Service Commitment,6/17/2014,42,28,33.33%,11,,https://servicecommitment.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/servicecommitment-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Themis - Screen Reader Mode,10/21/2013,15089,14372,4.75%,8,,https://thmprod.themis.unimelb.edu.au/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE,http://www.unimelb.edu.au/accessibility/sortsite/thmprod-themis-unimelb-edu-au/21-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
